"mark","p.unadj","p.FWER","p.FDR"
"charge.V4.tier1",0.00932583729214631,0.102,0.11439842209073
"length.hypervariable.V2.tier1",0.160045043863106,0.883,0.750984436527283
"num.sequons.V1.tier1",0.188983333599697,0.927,0.750984436527283
"num.sequons.V2.tier1",0.233539631184971,0.95,0.750984436527283
"charge.V3.tier1",0.266904054567328,0.963,0.750984436527283
"length.hypervariable.V5.tier1",0.350623997712446,0.978,0.81047071617213
"length.hypervariable.V4.tier1",0.423375885606111,0.988,0.836319655975632
"cysteine.count.V1.tier1",0.49196576064926,0.999,0.836319655975632
"num.sequons.V4.tier1",0.546813845810737,0.999,0.836319655975632
"charge.V5.tier1",0.590007070250205,0.999,0.836319655975632
"charge.V1V2.tier1",0.628235835160772,0.999,0.836319655975632
"num.sequons.CD4bs.Loop.D.tier1",0.737617044439809,0.999,0.875533333333333
"num.sequons.V3.tier1",0.796740885296381,0.999,0.875533333333333
"num.sequons.V5.tier1",0.852553896472829,0.999,0.875533333333333
"length.hypervariable.V1.tier1",0.871848645584064,0.999,0.875533333333333
